Model,Accuracy
Logistic Regression,0.7304507038585506
Linear SVM,0.7313393919973015
Decision Tree,0.8030490139609896
Random Forest,0.8583016081430627
Gaussian Naive Bayes,0.5921374570157392
XGBoost + Doc2Vec,0.6676765228631443
XGBoost + fastText,0.3352722572305703
